hierarchy,scoring,tours
Social/rec,Social/rec,25826
Work,Work,20682
Shop,Shop,14625
Meal,Meal,12724
Escort,Escort,10128
Errand,Errand,7338
School,School,2292
Overnight,Overnight,2061
Escort,Shop,1801
Escort,Meal,1605
Escort,Social/rec,1481
School-related,School-related,1282
Social/rec,Meal,871
Social/rec,Shop,722
Escort,Errand,705
996,996,704
Errand,Shop,271
Meal,Shop,269
Other,Other,225
Change-mode,Change-mode,214
Social/rec,Errand,166
Social/rec,Overnight,121
Work,Shop,120
Work,Meal,120
Work,Social/rec,103
Work,Errand,62
Escort,Overnight,57
Meal,Overnight,55
Errand,Meal,35
Shop,Overnight,34
School,Escort,33
Work,Escort,31
Escort,Change-mode,25
Escort,Other,24
School-related,Shop,22
Errand,Overnight,22
Meal,Change-mode,21
Social/rec,Change-mode,21
Social/rec,Other,20
Shop,Change-mode,12
School,Shop,12
School,Social/rec,11
School-related,Escort,11
Meal,Other,10
School-related,Social/rec,10
School-related,Work,10
School-related,Meal,8
Errand,Change-mode,8
Work,School-related,8
School,Meal,7
School-related,Errand,7
Shop,Other,7
Overnight,Change-mode,7
Shop,Errand,6
Work,Overnight,6
School,Work,5
Work,Change-mode,5
Errand,Other,5
School,Errand,5
Work,Other,5
Work-related,Work-related,4
Shop,Social/rec,3
Errand,Social/rec,2
Meal,Social/rec,2
Overnight,Other,2
Work,School,2
Change-mode,Other,1
School,Other,1
Meal,Errand,1
School-related,Overnight,1
Shop,Meal,1
