Table,Field,Type,Constraints,load_data,clean_2023_bats,imputation,link_trips,detect_joint_trips,extract_tours,add_zone_ids,cascade_completeness,compute_weights,format_ctramp,format_daysim,write_data
households,hh_id,int,≥ 1, UNIQUE,,,,,,x,x,,,x,,
households,home_lat,float,≥ -90, ≤ 90,,,,,,x,x,,,x,,
households,home_lon,float,≥ -180, ≤ 180,,,,,,x,x,,,x,,
households,residence_rent_own,ResidenceRentOwn,,,,,,,,,,,,x,
households,residence_type,ResidenceType,,,,,,,,,,,,x,
households,income,int or None,≥ 0,,,,,,,,,,,,
households,income_bin,IncomeBroad,,,,,,,,,,,x,,
households,hh_weight,float or None,≥ 0,,,,,,,,,,,,
households,num_vehicles,int,≥ 0,,,,,,,,,,x,,
households,complete,bool,,,,,,,,,,,,,
persons,person_id,int,≥ 1, UNIQUE,,,,,,x,x,,,x,,
persons,hh_id,int,≥ 1, FK → `households.hh_id`, REQ_CHILD,,,,,,,,,,x,,
persons,person_num,int,≥ 1,,,,,,,,,,x,x,
persons,age,AgeCategory,,,,,,,x,,,,x,,
persons,gender,Gender,,,,,,,,,,,x,,
persons,work_lat,float or None,≥ -90, ≤ 90,,,,,,x,x,,,x,,
persons,work_lon,float or None,≥ -180, ≤ 180,,,,,,x,x,,,x,,
persons,school_lat,float or None,≥ -90, ≤ 90,,,,,,x,x,,,x,,
persons,school_lon,float or None,≥ -180, ≤ 180,,,,,,x,x,,,x,,
persons,industry,Industry or None,,,,,,,,,,,,,
persons,occupation,Occupation or None,,,,,,,,,,,,,
persons,job_type,JobType or None,,,,,,,,,,,,,
persons,employment,Employment,,,,,,,x,,,,x,,
persons,student,Student,,,,,,,x,,,,x,,
persons,school_type,SchoolType or None,,,,,,,x,,,,x,,
persons,work_park,WorkParking or None,,,,,,,,,,,,x,
persons,work_mode,Mode or None,,,,,,,,,,,,x,
persons,race,Race or None,,,,,,,,,,,,,
persons,ethnicity,Ethnicity or None,,,,,,,,,,,,,
persons,telework_freq,CommuteFreq or None,,,,,,,,,,,,,
persons,commute_freq,CommuteFreq or None,,,,,,,,,,,,,
persons,commute_subsidy_provide_free_parking,BooleanYesNo or None,,,,,,,,,,,x,,
persons,commute_subsidy_provide_discounted_parking,BooleanYesNo or None,,,,,,,,,,,x,,
persons,commute_subsidy_use_free_parking,BooleanYesNo or None,,,,,,,,,,,x,,
persons,commute_subsidy_use_discounted_parking,BooleanYesNo or None,,,,,,,,,,,x,,
persons,is_proxy,bool or None,,,,,,,,,,,,x,
persons,surveyable,bool or None,,,,,,,,,,,,,
persons,num_days_complete,int,≥ 0,,,,,,,,,,,,
persons,complete,bool or None,,,,,,,,,,,,,
persons,person_weight,float or None,≥ 0,,,,,,,,,,,,
days,person_id,int,≥ 1, FK → `persons.person_id`, REQ_CHILD,,,,,,,,,,x,,
days,day_id,int,≥ 1, UNIQUE,,,,,,,,x,,x,,
days,hh_id,int,≥ 1, FK → `households.hh_id`,,,,,,,,x,,x,,
days,travel_date,datetime,,,,,,,,,x,,,,
days,travel_dow,TravelDow,,,,,,,,,,,,x,
days,complete,bool or None,,,,,,,,,x,,,,
days,hh_day_complete,bool or None,,,,,,,,,,,,,
days,day_weight,float or None,≥ 0,,,,,,,,,,,,
unlinked_trips,unlinked_trip_id,int,≥ 1, UNIQUE,,,,,,,x,,,,,
unlinked_trips,day_id,int,≥ 1, FK → `days.day_id`,,,,x,,x,,,,,,
unlinked_trips,person_id,int,≥ 1, FK → `persons.person_id`,,,,,,,,,,,,
unlinked_trips,hh_id,int,≥ 1, FK → `households.hh_id`,,,,,,,,,,,,
unlinked_trips,linked_trip_id,int,≥ 1, FK → `linked_trips.linked_trip_id`,,,,,,x,,,,,,
unlinked_trips,linked_trip_num,int or None,≥ 1,,,,,,,,,,,,
unlinked_trips,tour_id,int or None,≥ 1, FK → `tours.tour_id`,,,,,,,,,,,x,
unlinked_trips,joint_tour_id,int or None,≥ 1, FK → `joint_tours.joint_tour_id`,,,,,,,,,,,,
unlinked_trips,o_lon,float,≥ -180, ≤ 180,,,,x,,,x,,,,,
unlinked_trips,o_lat,float,≥ -90, ≤ 90,,,,x,,,x,,,,,
unlinked_trips,d_lon,float,≥ -180, ≤ 180,,,,x,,,x,,,,,
unlinked_trips,d_lat,float,≥ -90, ≤ 90,,,,x,,,x,,,,,
unlinked_trips,o_purpose,Purpose,,,,,,,,,,,,,
unlinked_trips,d_purpose,Purpose,,,,,,,,,,,,,
unlinked_trips,o_purpose_category,PurposeCategory,,,,,x,,,,,,,,
unlinked_trips,d_purpose_category,PurposeCategory,,,,,x,,,,,,,,
unlinked_trips,mode_type,ModeType,,,,,x,,,,,,,,
unlinked_trips,mode_1,Mode or None,,,,,,,,,,,,,
unlinked_trips,mode_2,Mode or None,,,,,,,,,,,,,
unlinked_trips,mode_3,Mode or None,,,,,,,,,,,,,
unlinked_trips,mode_4,Mode or None,,,,,,,,,,,,,
unlinked_trips,tnc_type,TNCType or None,,,,,,,,,,,,,
unlinked_trips,duration_minutes,float,≥ 0,,,,,,,,,,,,
unlinked_trips,distance_meters,float,≥ 0,,,,,,,,,,,,
unlinked_trips,depart_time,datetime or None,,,,,x,,x,,,,,,
unlinked_trips,arrive_time,datetime or None,,,,,x,,x,,,,,,
unlinked_trips,num_travelers,int,≥ 1,,,,,,,,,,,,
unlinked_trips,complete,bool or None,,,,,,,,,,,,,
unlinked_trips,unlinked_trip_weight,float or None,≥ 0,,,,,,,,,,,,
linked_trips,day_id,int,≥ 1, FK → `days.day_id`,,,,,,x,,,,,,
linked_trips,person_id,int,≥ 1, FK → `persons.person_id`,,,,,,,,,,,,
linked_trips,hh_id,int,≥ 1, FK → `households.hh_id`,,,,,,,,,,x,,
linked_trips,linked_trip_id,int,≥ 1, UNIQUE,,,,,,,x,,,x,,
linked_trips,joint_trip_id,int or None,≥ 1, FK → `joint_trips.joint_trip_id`,,,,,,x,,,,,,
linked_trips,tour_id,int,≥ 1, FK → `tours.tour_id`,,,,,,,,,,x,x,
linked_trips,travel_dow,TravelDow,,,,,,,,,,,,,
linked_trips,o_purpose,Purpose,,,,,,,x,,,,,,
linked_trips,o_purpose_category,PurposeCategory,,,,,,,x,,,,x,,
linked_trips,o_lat,float,≥ -90, ≤ 90,,,,,x,,x,,,x,,
linked_trips,o_lon,float,≥ -180, ≤ 180,,,,,x,,x,,,x,,
linked_trips,d_purpose,Purpose,,,,,,,x,,,,,,
linked_trips,d_purpose_category,PurposeCategory,,,,,,,x,,,,x,,
linked_trips,d_lat,float,≥ -90, ≤ 90,,,,,x,,x,,,x,,
linked_trips,d_lon,float,≥ -180, ≤ 180,,,,,x,,x,,,x,,
linked_trips,mode_type,ModeType,,,,,,,x,,,,x,,
linked_trips,driver,Driver,,,,,,,,,,,,x,
linked_trips,num_travelers,int,≥ 1,,,,,,,,,,x,,
linked_trips,access_mode,AccessEgressMode or None,,,,,,,,,,,x,x,
linked_trips,egress_mode,AccessEgressMode or None,,,,,,,,,,,x,x,
linked_trips,duration_minutes,float,≥ 0,,,,,,,,,,,,
linked_trips,distance_meters,float,≥ 0,,,,,,,,,,x,,
linked_trips,depart_time,datetime,,,,,,x,,,,,x,,
linked_trips,arrive_time,datetime,,,,,,x,,,,,x,,
linked_trips,d_activity_duration,int,,,,,,,x,,,,,,
linked_trips,tour_direction,TourDirection,,,,,,,,,,,x,x,
linked_trips,tour_num,int or None,≥ 1,,,,,,,,,,,,
linked_trips,subtour_num,int or None,≥ 0,,,,,,,,,,,,
linked_trips,parent_tour_id,int or None,≥ 1, FK → `tours.tour_id`,,,,,,,,,,,,
linked_trips,tour_purpose,PurposeCategory or None,,,,,,,,,,,,,
linked_trips,joint_tour_id,int or None,≥ 1, FK → `joint_tours.joint_tour_id`,,,,,,,,,,x,,
linked_trips,linked_trip_num,int or None,≥ 1,,,,,,,,,,,,
linked_trips,num_segments,int or None,≥ 1,,,,,,,,,,,,
linked_trips,travel_duration_minutes,int or None,≥ 0,,,,,,,,,,,,
linked_trips,dwell_duration_minutes,int or None,≥ 0,,,,,,,,,,,,
linked_trips,o_location_type,LocationType,,,,,,,,,,,,,
linked_trips,d_location_type,LocationType,,,,,,,,,,,,,
linked_trips,complete,bool or None,,,,,,,,,,,,,
linked_trips,linked_trip_weight,float or None,≥ 0,,,,,,,,,,,,
tours,tour_id,int,≥ 1, UNIQUE,,,,,,,x,x,,x,,
tours,hh_id,int,≥ 1, FK → `households.hh_id`,,,,,,,,,,x,,
tours,person_id,int,≥ 1, FK → `persons.person_id`,,,,,,,,,,,,
tours,day_id,int,≥ 1, FK → `days.day_id`,,,,,,,,x,,,,
tours,tour_num,int,≥ 1,,,,,,,,,,,,
tours,subtour_num,int,≥ 0,,,,,,,,,,x,,
tours,parent_tour_id,int,≥ 1, FK → `tours.tour_id`,,,,,,,,,,x,,
tours,joint_tour_id,int or None,≥ 1, FK → `joint_tours.joint_tour_id`,,,,,,,,,,x,,
tours,tour_purpose,PurposeCategory or None,,,,,,,,,,,x,,
tours,tour_type,TourType,,,,,,,,,,,,,
tours,tour_category,TourCategory,,,,,,,,,,,x,,
tours,tour_data_quality,TourDataQuality,,,,,,,,,,,,,
tours,trip_count,int,≥ 1,,,,,,,,,,,,
tours,origin_depart_time,datetime,,,,,,,,,,,x,,
tours,origin_arrive_time,datetime,,,,,,,,,,,x,,
tours,dest_arrive_time,datetime or None,,,,,,,,,,,,,
tours,dest_depart_time,datetime or None,,,,,,,,,,,,,
tours,origin_linked_trip_id,int,≥ 1, FK → `linked_trips.linked_trip_id`,,,,,,,,,,,x,
tours,dest_linked_trip_id,int or None,≥ 1, FK → `linked_trips.linked_trip_id`,,,,,,,,,,,x,
tours,o_lat,float,≥ -90, ≤ 90,,,,,,,x,,,,,
tours,o_lon,float,≥ -180, ≤ 180,,,,,,,x,,,,,
tours,d_lat,float,≥ -90, ≤ 90,,,,,,,x,,,,,
tours,d_lon,float,≥ -180, ≤ 180,,,,,,,x,,,,,
tours,o_location_type,LocationType,,,,,,,,,,,,,
tours,d_location_type,LocationType,,,,,,,,,,,,,
tours,tour_mode,ModeType,,,,,,,,,,,x,,
tours,outbound_mode,ModeType or None,,,,,,,,,,,,,
tours,inbound_mode,ModeType or None,,,,,,,,,,,,,
tours,num_travelers,int,≥ 1,,,,,,,,,,,,
tours,complete,bool or None,,,,,,,,,x,,,,
tours,tour_weight,float or None,≥ 0,,,,,,,,,,,,
